"","OBJECTID","Shape_Leng","Shape_Area","1937","1955","1968","1976","1987","2000","2010","2022","join","Acres"
"1",1,186029.157584,20966242.1611,"Original Forest","Original Forest","Deforested","Deforested","Deforested","Deforested","Deforested","Deforested","Deforested After 1955",481.320615847
"2",2,138731.765397,13648184.6137,"Original Forest","Deforested","Deforested","Deforested","Deforested","Deforested","Deforested","Deforested","Deforested After 1937",313.320459289
"3",3,9053.16346131,853293.965656,"Original Forest","Original Forest","Deforested","Deforested","New Forest","New Forest","New Forest","New Forest","Reforested After 1976",19.5890123701
"4",4,1186.94241724,13522.8934249,"Original Forest","Deforested","Deforested","Deforested","New Forest","New Forest","New Forest","New Forest","Reforested After 1976",0.310444157866
"5",5,115.528313094,474.730935418,"Original Forest","Deforested","Deforested","New Forest","New Forest","New Forest","New Forest","New Forest","Reforested After 1968",0.0108983662614
"6",6,45897.7883542,3964626.71814,"Original Forest","Original Forest","Original Forest","Deforested","Deforested","Deforested","Deforested","Deforested","Deforested After 1968",91.0156698048
"7",7,47222.4662159,4862654.12052,"Original Forest","Original Forest","Original Forest","Original Forest","Deforested","Deforested","Deforested","Deforested","Deforested After 1976",111.631624683
"8",8,52014.8744618,5061543.58077,"Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Deforested","Deforested","Deforested","Deforested After 1987",116.19751669
"9",9,39321.8782011,2898679.5002,"Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Deforested","Deforested","Deforested After 2000",66.544790977
"10",10,43511.25417,3534884.03852,"Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Deforested","Deforested After 2010",81.150095916
"11",11,1637569.92777,170752550.047,"Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Original Forest","Perpetual Forest",3919.95484524
"12",12,3378.1758396,160822.230134,"Original Forest","Deforested","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest","Reforested After 1955",3.69198515668
"13",13,9815.194799,716560.506588,"Not Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","New Forest Lost","New Forest Lost","New Forest Lost","Never Forest",16.450031516
"14",14,2926694.83085,3021501840.37,"Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","Never Forest",69364.4152069
"15",15,1303.97685855,55002.3765977,"Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest Lost","Never Forest",1.26268587254
"16",16,16611.2213757,1138789.50962,"Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest","Aforested After 2000",26.1431144351
"17",17,5433.33830528,437592.755709,"Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest Lost","New Forest Lost","Never Forest",10.0457875593
"18",18,4186.88697698,170597.094789,"Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest","New Forest Lost","Aforestation Lost After 2010",3.91638606932
"19",19,88449.0641904,6614890.84774,"Not Forest","Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest","New Forest","Aforested After 1987",151.857605771
"20",20,1287.27814517,87768.0005904,"Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","Never Forest",2.01488410614
"21",21,10338.0604481,983369.818112,"Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","Aforestation Lost After 2000",22.5751549955
"22",22,18039.0278404,2151567.85872,"Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest","New Forest","New Forest Lost","Aforestation Lost After 2010",49.393399105
"23",23,268145.991336,20413932.5186,"Not Forest","Not Forest","Not Forest","Not Forest","New Forest","New Forest","New Forest","New Forest","Aforested After 1976",468.641280408
"24",24,1599.40082782,68460.0071293,"Not Forest","Not Forest","Not Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","Aforestation Lost After 1987",1.57163179454
"25",25,70193.9321271,4328252.16057,"Not Forest","Not Forest","Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest","Aforested After 1968",99.3633947114
"26",26,4804.91456487,688203.30343,"Not Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","New Forest Lost","New Forest Lost","Aforestation Lost After 1968",15.799037104
"27",27,8535.8087213,716171.852048,"Not Forest","New Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","New Forest Lost","Aforestation Lost After 1976",16.4411091998
"28",28,4437.23058087,274718.181206,"Not Forest","Not Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","New Forest Lost","Aforestation Lost After 1976",6.30668687057
"29",29,4465.17424464,358935.5419,"Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","Aforestation Lost After 1987",8.24005917461
"30",30,112.04123557,335.287879942,"Not Forest","Not Forest","New Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","New Forest Lost","Aforestation Lost After 1987",0.00769718138424
"31",31,4916.74525028,242825.225629,"Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","Aforestation Lost After 2000",5.57452242728
"32",32,17456.8123837,1848315.30952,"Not Forest","Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest Lost","New Forest Lost","Aforestation Lost After 2000",42.4316506613
"33",33,15933.0426432,1364783.84306,"Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest Lost","Aforestation Lost After 2010",31.3312511986
"34",34,14083.6849643,1006295.12019,"Not Forest","Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest Lost","Aforestation Lost After 2010",23.1014496186
"35",35,270402.480659,19199606.7958,"Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest","Aforested After 1937",440.764086191
"36",36,277972.17839,22637648.1273,"Not Forest","Not Forest","New Forest","New Forest","New Forest","New Forest","New Forest","New Forest","Aforested After 1955",519.690970573
